season,week_num,day_of_week,gametime_local,home_team,away_team,home_score,away_score,OT_flag,arrests,division_game
2013,15,Sunday,1:05:00 PM,Oakland,Kansas City,31,56,,21,y
2013,17,Sunday,1:25:00 PM,Oakland,Denver,14,34,,10,y
2014,2,Sunday,1:25:00 PM,Oakland,Houston,14,30,,18,n
2014,6,Sunday,1:05:00 PM,Oakland,San Diego,28,31,,30,y
2014,7,Sunday,1:25:00 PM,Oakland,Arizona,13,24,,25,n
2014,14,Sunday,1:25:00 PM,Oakland,San Francisco,24,13,,49,n
2014,16,Sunday,1:25:00 PM,Oakland,Buffalo,26,24,,21,n
2015,1,Sunday,1:25:00 PM,Oakland,Cincinnati,13,33,,11,n
2015,2,Sunday,1:05:00 PM,Oakland,Baltimore,37,33,,18,n
2015,5,Sunday,1:25:00 PM,Oakland,Denver,10,16,,21,y
2015,8,Sunday,1:05:00 PM,Oakland,New York Jets,34,20,,16,n
2015,10,Sunday,1:05:00 PM,Oakland,Minnesota,14,30,,22,n
2015,13,Sunday,1:05:00 PM,Oakland,Kansas City,20,34,,19,y
2015,15,Sunday,1:05:00 PM,Oakland,Green Bay,20,30,,15,n
2015,16,Thursday,5:25:00 PM,Oakland,San Diego,23,20,,10,y
2011,3,Sunday,1:00:00 PM,Philadelphia,New York Giants,16,29,,2,y
2011,4,Sunday,1:00:00 PM,Philadelphia,San Francisco,23,24,,5,n
2011,8,Sunday,8:20:00 PM,Philadelphia,Dallas,34,7,,5,y
2011,9,Monday,8:30:00 PM,Philadelphia,Chicago,24,30,,2,n
2011,10,Sunday,1:00:00 PM,Philadelphia,Arizona,17,21,,2,n
2011,12,Sunday,4:15:00 PM,Philadelphia,New England,20,38,,2,n
2011,15,Sunday,4:15:00 PM,Philadelphia,New York Jets,45,19,,1,n
2011,17,Sunday,1:00:00 PM,Philadelphia,Washington,34,10,,2,y
2012,2,Sunday,1:00:00 PM,Philadelphia,Baltimore,24,23,,2,n
2012,4,Sunday,8:20:00 PM,Philadelphia,New York Giants,19,17,,6,y
2012,6,Sunday,1:00:00 PM,Philadelphia,Detroit,23,26,OT,1,n
2012,8,Sunday,1:00:00 PM,Philadelphia,Atlanta,17,30,,0,n
2012,10,Sunday,4:25:00 PM,Philadelphia,Dallas,23,38,,4,y
2012,12,Monday,8:30:00 PM,Philadelphia,Carolina,22,30,,1,n
2012,15,Thursday,8:20:00 PM,Philadelphia,Cincinnati,13,34,,1,n
2012,16,Sunday,1:00:00 PM,Philadelphia,Washington,20,27,,1,y
2013,2,Sunday,1:00:00 PM,Philadelphia,San Diego,30,33,,2,n
2013,3,Thursday,8:25:00 PM,Philadelphia,Kansas City,16,26,,2,n
2013,7,Sunday,1:00:00 PM,Philadelphia,Dallas,3,17,,1,y
2013,8,Sunday,1:00:00 PM,Philadelphia,New York Giants,7,15,,18,y
2013,11,Sunday,1:00:00 PM,Philadelphia,Washington,24,16,,3,y
2013,13,Sunday,1:00:00 PM,Philadelphia,Arizona,24,21,,3,n
2013,14,Sunday,1:00:00 PM,Philadelphia,Detroit,34,20,,10,n
2013,16,Sunday,8:30:00 PM,Philadelphia,Chicago,54,11,,12,n
2014,1,Sunday,1:00:00 PM,Philadelphia,Jacksonville,34,17,,3,n
2014,3,Sunday,1:00:00 PM,Philadelphia,Washington,37,34,,3,y
2014,5,Sunday,1:00:00 PM,Philadelphia,St. Louis,34,28,,1,n
2014,6,Sunday,8:30:00 PM,Philadelphia,New York Giants,27,0,,1,y
2014,10,Monday,8:30:00 PM,Philadelphia,Carolina,45,21,,1,n
2014,12,Sunday,1:00:00 PM,Philadelphia,Tennessee,43,24,,5,n
2014,14,Sunday,4:25:00 PM,Philadelphia,Seattle,14,24,,2,n
2014,15,Sunday,8:30:00 PM,Philadelphia,Dallas,27,38,,4,y
2015,2,Sunday,4:25:00 PM,Philadelphia,Dallas,10,20,,5,y
2015,5,Sunday,1:00:00 PM,Philadelphia,New Orleans,39,17,,0,n
2015,6,Monday,8:30:00 PM,Philadelphia,New York Giants,27,7,,2,y
2015,10,Sunday,1:00:00 PM,Philadelphia,Miami,19,20,,2,n
2015,11,Sunday,1:00:00 PM,Philadelphia,Tampa Bay,17,45,,0,n
2015,14,Sunday,1:00:00 PM,Philadelphia,Buffalo,23,20,,1,n
2015,15,Sunday,8:30:00 PM,Philadelphia,Arizona,17,40,,5,n
2015,16,Saturday,8:25:00 PM,Philadelphia,Washington,24,38,,3,y
2011,2,Sunday,1:00:00 PM,Pittsburgh,Seattle,24,0,,15,n
2011,5,Sunday,1:00:00 PM,Pittsburgh,Tennessee,38,17,,19,n
2011,6,Sunday,1:00:00 PM,Pittsburgh,Jacksonville,17,13,,24,n
2011,8,Sunday,4:15:00 PM,Pittsburgh,New England,25,17,,12,n
2011,9,Sunday,8:20:00 PM,Pittsburgh,Baltimore,20,23,,21,y
2011,13,Sunday,1:00:00 PM,Pittsburgh,Cincinnati,35,7,,9,y
2011,14,Thursday,8:20:00 PM,Pittsburgh,Cleveland,14,3,,16,y
2011,16,Saturday,1:00:00 PM,Pittsburgh,St. Louis,27,0,,10,n
2012,2,Sunday,4:25:00 PM,Pittsburgh,New York Jets,27,10,,25,n
2012,5,Sunday,1:00:00 PM,Pittsburgh,Philadelphia,16,14,,18,n
2012,8,Sunday,1:00:00 PM,Pittsburgh,Washington,27,12,,23,n
2012,10,Monday,8:30:00 PM,Pittsburgh,Kansas City,16,13,OT,25,n
2012,11,Sunday,8:20:00 PM,Pittsburgh,Baltimore,10,13,,52,y
2012,14,Sunday,1:00:00 PM,Pittsburgh,San Diego,24,34,,31,n
2012,16,Sunday,1:00:00 PM,Pittsburgh,Cincinnati,10,13,,30,y
2012,17,Sunday,1:00:00 PM,Pittsburgh,Cleveland,24,10,,3,y
2013,1,Sunday,1:00:00 PM,Pittsburgh,Tennessee,9,16,,37,n
2013,3,Sunday,8:30:00 PM,Pittsburgh,Chicago,23,40,,56,n
2013,7,Sunday,4:25:00 PM,Pittsburgh,Baltimore,19,16,,16,y
2013,10,Sunday,1:00:00 PM,Pittsburgh,Buffalo,23,10,,19,n
2013,11,Sunday,1:00:00 PM,Pittsburgh,Detroit,37,27,,34,n
2013,14,Sunday,1:00:00 PM,Pittsburgh,Miami,28,34,,6,n
2013,15,Sunday,8:30:00 PM,Pittsburgh,Cincinnati,30,20,,10,y
2013,17,Sunday,1:00:00 PM,Pittsburgh,Cleveland,20,7,,7,y
2014,1,Sunday,1:00:00 PM,Pittsburgh,Cleveland,30,27,,9,y
2014,4,Sunday,1:00:00 PM,Pittsburgh,Tampa Bay,24,27,,10,n
2014,7,Monday,8:30:00 PM,Pittsburgh,Houston,30,23,,11,n
2014,8,Sunday,4:25:00 PM,Pittsburgh,Indianapolis,51,34,,22,n
2014,9,Sunday,8:30:00 PM,Pittsburgh,Baltimore,43,23,,25,y
2014,13,Sunday,1:00:00 PM,Pittsburgh,New Orleans,32,35,,9,n
2014,16,Sunday,1:00:00 PM,Pittsburgh,Kansas City,20,12,,10,n
2014,17,Sunday,8:30:00 PM,Pittsburgh,Cincinnati,27,17,,17,y
2015,2,Sunday,1:00:00 PM,Pittsburgh,San Francisco,43,18,,4,n
2015,4,Thursday,8:30:00 PM,Pittsburgh,Baltimore,20,23,OT,1,y
2015,6,Sunday,1:00:00 PM,Pittsburgh,Arizona,25,13,,8,n
2015,8,Sunday,1:00:00 PM,Pittsburgh,Cincinnati,10,16,,3,y
2015,9,Sunday,1:00:00 PM,Pittsburgh,Oakland,38,35,,8,n
2015,10,Sunday,1:00:00 PM,Pittsburgh,Cleveland,30,9,,7,y
2015,13,Sunday,8:30:00 PM,Pittsburgh,Indianapolis,45,10,,3,n
2015,15,Sunday,4:25:00 PM,Pittsburgh,Denver,34,27,,5,n
2011,1,Sunday,1:15:00 PM,San Diego,Minnesota,24,17,,15,n
2011,3,Sunday,1:05:00 PM,San Diego,Kansas City,20,17,,37,y
2011,4,Sunday,1:15:00 PM,San Diego,Miami,26,16,,29,n
2011,9,Sunday,1:15:00 PM,San Diego,Green Bay,38,45,,30,n
2011,10,Thursday,5:20:00 PM,San Diego,Oakland,17,24,,69,y
2011,12,Sunday,1:15:00 PM,San Diego,Denver,13,16,OT,41,y
2011,14,Sunday,1:15:00 PM,San Diego,Buffalo,37,10,,30,n
2011,15,Sunday,5:20:00 PM,San Diego,Baltimore,34,14,,0,n
2012,2,Sunday,1:25:00 PM,San Diego,Tennessee,38,10,,23,n
2012,3,Sunday,1:05:00 PM,San Diego,Atlanta,3,27,,47,n
2012,6,Monday,5:30:00 PM,San Diego,Denver,24,35,,45,y
2012,9,Thursday,5:20:00 PM,San Diego,Kansas City,31,13,,40,y
2012,12,Sunday,1:05:00 PM,San Diego,Baltimore,13,16,OT,31,n
2012,13,Sunday,1:25:00 PM,San Diego,Cincinnati,13,20,,19,n
2012,15,Sunday,1:05:00 PM,San Diego,Carolina,7,31,,12,n
2012,17,Sunday,1:25:00 PM,San Diego,Oakland,24,21,,60,y
2013,1,Monday,7:20:00 PM,San Diego,Houston,28,31,,29,n
2013,4,Sunday,1:25:00 PM,San Diego,Dallas,30,21,,40,n
2013,6,Monday,5:40:00 PM,San Diego,Indianapolis,24,6,,13,n
2013,10,Sunday,1:25:00 PM,San Diego,Denver,20,28,,16,y
2013,13,Sunday,1:25:00 PM,San Diego,Cincinnati,10,17,,24,n
2013,14,Sunday,1:25:00 PM,San Diego,New York Giants,37,14,,19,n
2013,16,Sunday,1:25:00 PM,San Diego,Oakland,26,13,,36,y
2013,17,Sunday,1:25:00 PM,San Diego,Kansas City,27,24,OT,8,y
2014,2,Sunday,1:05:00 PM,San Diego,Seattle,30,21,,20,n
2014,4,Sunday,1:05:00 PM,San Diego,Jacksonville,33,14,,8,n
2014,5,Sunday,1:25:00 PM,San Diego,New York Jets,31,0,,18,n
2014,7,Sunday,1:05:00 PM,San Diego,Kansas City,20,23,,19,y
2014,11,Sunday,1:05:00 PM,San Diego,Oakland,13,6,,19,y
2014,12,Sunday,1:05:00 PM,San Diego,St. Louis,27,24,,19,n
2014,14,Sunday,5:30:00 PM,San Diego,New England,14,23,,17,n
2014,15,Sunday,1:05:00 PM,San Diego,Denver,10,22,,17,y
2015,1,Sunday,1:25:00 PM,San Diego,Detroit,33,28,,18,n
2015,4,Sunday,1:05:00 PM,San Diego,Cleveland,30,27,,14,n
2015,5,Monday,5:30:00 PM,San Diego,Pittsburgh,20,24,,13,n
2015,7,Sunday,1:05:00 PM,San Diego,Oakland,29,37,,13,y
2015,9,Monday,5:30:00 PM,San Diego,Chicago,19,22,,17,n
2015,11,Sunday,1:05:00 PM,San Diego,Kansas City,3,33,,8,y
2015,13,Sunday,1:05:00 PM,San Diego,Denver,3,17,,14,y
2015,15,Sunday,1:25:00 PM,San Diego,Miami,30,14,,36,n
2011,1,Sunday,1:15:00 PM,San Francisco,Seattle,33,17,,3,y
2011,2,Sunday,1:05:00 PM,San Francisco,Dallas,24,27,OT,4,n
2011,5,Sunday,1:05:00 PM,San Francisco,Tampa Bay,48,3,,3,n
2011,8,Sunday,1:15:00 PM,San Francisco,Cleveland,20,10,,1,n
2011,10,Sunday,1:15:00 PM,San Francisco,New York Giants,27,20,,0,n
2011,11,Sunday,1:05:00 PM,San Francisco,Arizona,23,7,,4,y
2011,13,Sunday,1:15:00 PM,San Francisco,St. Louis,26,0,,4,y
2011,15,Monday,5:30:00 PM,San Francisco,Pittsburgh,20,3,,10,n
2012,2,Sunday,5:20:00 PM,San Francisco,Detroit,27,19,,1,n
2012,5,Sunday,1:25:00 PM,San Francisco,Buffalo,13,6,,7,n
2012,6,Sunday,1:25:00 PM,San Francisco,New York Giants,3,26,,2,n
2012,7,Thursday,5:30:00 PM,San Francisco,Seattle,13,6,,6,y
2012,10,Sunday,1:25:00 PM,San Francisco,St. Louis,24,24,OT,8,y
2012,11,Monday,5:40:00 PM,San Francisco,Chicago,32,7,,1,n
2012,14,Sunday,1:05:00 PM,San Francisco,Miami,27,13,,12,n
2012,17,Sunday,1:25:00 PM,San Francisco,Arizona,27,13,,5,y
2013,1,Sunday,1:25:00 PM,San Francisco,Green Bay,34,28,,5,n
2013,3,Sunday,1:25:00 PM,San Francisco,Indianapolis,7,27,,6,n
2013,5,Sunday,5:30:00 PM,San Francisco,Houston,34,3,,1,n
2013,6,Sunday,1:25:00 PM,San Francisco,Arizona,32,20,,6,y
2013,10,Sunday,1:05:00 PM,San Francisco,Carolina,9,10,,1,n
2013,13,Sunday,1:05:00 PM,San Francisco,St. Louis,23,13,,3,y
2013,14,Sunday,1:25:00 PM,San Francisco,Seattle,19,17,,6,y
2013,16,Monday,5:40:00 PM,San Francisco,Atlanta,34,24,,0,n
2014,2,Sunday,5:30:00 PM,San Francisco,Chicago,20,28,,35,n
2014,4,Sunday,1:25:00 PM,San Francisco,Philadelphia,26,21,,20,n
2014,5,Sunday,1:25:00 PM,San Francisco,Kansas City,22,17,,33,n
2014,9,Sunday,1:05:00 PM,San Francisco,St. Louis,10,13,,25,y
2014,12,Sunday,1:25:00 PM,San Francisco,Washington,17,13,,24,n
2014,13,Thursday,5:30:00 PM,San Francisco,Seattle,3,19,,30,y
2014,16,Saturday,5:25:00 PM,San Francisco,San Diego,35,38,OT,25,n
2014,17,Sunday,1:25:00 PM,San Francisco,Arizona,20,17,,18,y
2015,1,Monday,7:20:00 PM,San Francisco,Minnesota,20,3,,28,n
2015,4,Sunday,1:25:00 PM,San Francisco,Green Bay,3,17,,14,n
2015,6,Sunday,1:25:00 PM,San Francisco,Baltimore,25,20,,24,n
2015,7,Thursday,5:25:00 PM,San Francisco,Seattle,3,20,,18,y
2015,9,Sunday,1:05:00 PM,San Francisco,Atlanta,17,16,,22,n
2015,12,Sunday,1:05:00 PM,San Francisco,Arizona,13,19,,12,y
2015,15,Sunday,1:25:00 PM,San Francisco,Cincinnati,14,24,,9,n
2015,17,Sunday,1:25:00 PM,San Francisco,St. Louis,19,16,OT,18,y
2011,3,Sunday,1:15:00 PM,Seattle,Arizona,13,10,,0,y
2011,4,Sunday,1:05:00 PM,Seattle,Atlanta,28,30,,0,n
2011,8,Sunday,1:15:00 PM,Seattle,Cincinnati,12,34,,0,n
2011,10,Sunday,1:05:00 PM,Seattle,Baltimore,22,17,,0,n
2011,12,Sunday,1:05:00 PM,Seattle,Washington,17,23,,0,n
2011,13,Thursday,5:20:00 PM,Seattle,Philadelphia,31,14,,1,n
2011,14,Monday,5:30:00 PM,Seattle,St. Louis,30,13,,0,y
2011,16,Saturday,1:15:00 PM,Seattle,San Francisco,17,19,,1,y
2012,2,Sunday,1:06:00 PM,Seattle,Dallas,27,7,,0,n
2012,3,Monday,5:41:00 PM,Seattle,Green Bay,14,12,,3,n
2012,6,Sunday,1:05:00 PM,Seattle,New England,24,23,,2,n
2012,9,Sunday,1:05:00 PM,Seattle,Minnesota,30,20,,5,n
2012,10,Sunday,1:05:00 PM,Seattle,New York Jets,28,7,,1,n
2012,14,Sunday,1:26:00 PM,Seattle,Arizona,58,0,,2,y
2012,16,Sunday,5:31:00 PM,Seattle,San Francisco,42,13,,4,y
2012,17,Sunday,1:26:00 PM,Seattle,St. Louis,20,13,,0,y
2013,2,Sunday,5:31:00 PM,Seattle,San Francisco,29,3,,2,y
2013,3,Sunday,1:26:00 PM,Seattle,Jacksonville,45,17,,1,n
2013,6,Sunday,1:06:00 PM,Seattle,Tennessee,20,13,,0,n
2013,9,Sunday,1:05:00 PM,Seattle,Tampa Bay,27,24,OT,2,n
2013,11,Sunday,1:26:00 PM,Seattle,Minnesota,41,10,,0,n
2013,13,Monday,5:41:00 PM,Seattle,New Orleans,34,7,,1,n
2013,16,Sunday,1:06:00 PM,Seattle,Arizona,10,17,,1,y
2013,17,Sunday,1:26:00 PM,Seattle,St. Louis,27,9,,1,y
2014,1,Thursday,5:42:00 PM,Seattle,Green Bay,36,16,,0,n
2014,3,Sunday,1:25:00 PM,Seattle,Denver,26,20,OT,1,n
2014,6,Sunday,1:26:00 PM,Seattle,Dallas,23,30,,0,n
2014,9,Sunday,1:26:00 PM,Seattle,Oakland,30,24,,0,n
2014,10,Sunday,1:26:00 PM,Seattle,New York Giants,38,17,,0,n
2014,12,Sunday,1:06:00 PM,Seattle,Arizona,19,3,,0,y
2014,15,Sunday,1:26:00 PM,Seattle,San Francisco,17,7,,1,y
2014,17,Sunday,1:27:00 PM,Seattle,St. Louis,20,6,,0,y
2015,3,Sunday,1:25:00 PM,Seattle,Chicago,26,0,,0,n
2015,4,Monday,5:30:00 PM,Seattle,Detroit,13,10,,1,n
2015,6,Sunday,1:05:00 PM,Seattle,Carolina,23,27,,1,n
2015,10,Sunday,5:30:00 PM,Seattle,Arizona,32,39,,1,y
2015,11,Sunday,1:25:00 PM,Seattle,San Francisco,29,13,,0,y
2015,12,Sunday,1:25:00 PM,Seattle,Pittsburgh,39,30,,0,n
2015,15,Sunday,1:05:00 PM,Seattle,Cleveland,30,13,,0,n
2015,16,Sunday,1:25:00 PM,Seattle,St. Louis,17,23,,0,y
2011,1,Sunday,1:00:00 PM,Tampa Bay,Detroit,20,27,,0,n
2011,3,Sunday,4:15:00 PM,Tampa Bay,Atlanta,16,13,,2,y
2011,4,Monday,8:30:00 PM,Tampa Bay,Indianapolis,24,17,,1,n
2011,6,Sunday,4:15:00 PM,Tampa Bay,New Orleans,26,20,,1,y
2011,10,Sunday,1:00:00 PM,Tampa Bay,Houston,9,37,,2,n
2011,13,Sunday,1:00:00 PM,Tampa Bay,Carolina,19,38,,2,y
2011,15,Saturday,8:20:00 PM,Tampa Bay,Dallas,15,31,,2,n
2012,1,Sunday,4:25:00 PM,Tampa Bay,Carolina,16,10,,1,y
2012,4,Sunday,4:25:00 PM,Tampa Bay,Washington,22,24,,2,n
2012,6,Sunday,1:00:00 PM,Tampa Bay,Kansas City,38,10,,0,n
2012,7,Sunday,1:00:00 PM,Tampa Bay,New Orleans,28,35,,1,y
2012,10,Sunday,1:00:00 PM,Tampa Bay,San Diego,34,24,,1,n
2012,12,Sunday,1:00:00 PM,Tampa Bay,Atlanta,23,24,,2,y
2012,14,Sunday,1:00:00 PM,Tampa Bay,Philadelphia,21,23,,1,n
2012,16,Sunday,1:00:00 PM,Tampa Bay,St. Louis,13,28,,0,n
2013,2,Sunday,4:05:00 PM,Tampa Bay,New Orleans,14,16,,2,y
2013,4,Sunday,1:00:00 PM,Tampa Bay,Arizona,10,13,,0,n
2013,6,Sunday,1:00:00 PM,Tampa Bay,Philadelphia,20,31,,2,n
2013,8,Thursday,8:25:00 PM,Tampa Bay,Carolina,13,31,,0,y
2013,10,Monday,8:40:00 PM,Tampa Bay,Miami,22,19,,1,n
2013,11,Sunday,1:00:00 PM,Tampa Bay,Atlanta,41,28,,0,y
2013,14,Sunday,1:00:00 PM,Tampa Bay,Buffalo,27,6,,2,n
2013,15,Sunday,1:00:00 PM,Tampa Bay,San Francisco,14,33,,1,n
2014,1,Sunday,4:25:00 PM,Tampa Bay,Carolina,14,20,,1,y
2014,2,Sunday,4:05:00 PM,Tampa Bay,St. Louis,17,19,,0,n
2014,6,Sunday,1:00:00 PM,Tampa Bay,Baltimore,17,48,,0,n
2014,8,Sunday,1:00:00 PM,Tampa Bay,Minnesota,13,19,OT,0,n
2014,10,Sunday,1:00:00 PM,Tampa Bay,Atlanta,17,27,,0,y
2014,13,Sunday,1:00:00 PM,Tampa Bay,Cincinnati,13,14,,0,n
2014,16,Sunday,1:00:00 PM,Tampa Bay,Green Bay,3,20,,1,n
2014,17,Sunday,1:00:00 PM,Tampa Bay,New Orleans,20,23,,0,y
2015,1,Sunday,4:25:00 PM,Tampa Bay,Tennessee,14,42,,1,n
2015,4,Sunday,1:00:00 PM,Tampa Bay,Carolina,23,37,,0,y
2015,5,Sunday,1:00:00 PM,Tampa Bay,Jacksonville,38,31,,1,n
2015,9,Sunday,4:05:00 PM,Tampa Bay,New York Giants,18,32,,0,n
2015,10,Sunday,1:00:00 PM,Tampa Bay,Dallas,10,6,,1,n
2015,13,Sunday,1:00:00 PM,Tampa Bay,Atlanta,23,19,,0,y
2015,14,Sunday,1:00:00 PM,Tampa Bay,New Orleans,17,24,,1,y
2015,16,Sunday,1:00:00 PM,Tampa Bay,Chicago,21,26,,1,n
2011,2,Sunday,12:00:00 PM,Tennessee,Baltimore,26,13,,0,n
2011,3,Sunday,12:00:00 PM,Tennessee,Denver,17,14,,0,n
2011,7,Sunday,12:00:00 PM,Tennessee,Houston,7,41,,0,y
2011,8,Sunday,12:00:00 PM,Tennessee,Indianapolis,27,10,,0,y
2011,9,Sunday,3:05:00 PM,Tennessee,Cincinnati,17,24,,1,n
2011,12,Sunday,12:00:00 PM,Tennessee,Tampa Bay,23,17,,0,n
2011,14,Sunday,12:00:00 PM,Tennessee,New Orleans,17,22,,1,n
2011,16,Saturday,12:00:00 PM,Tennessee,Jacksonville,23,17,,2,y
2012,1,Sunday,12:00:00 PM,Tennessee,New England,13,34,,0,n
2012,3,Sunday,12:00:00 PM,Tennessee,Detroit,44,41,OT,1,n
2012,6,Thursday,7:20:00 PM,Tennessee,Pittsburgh,26,23,,3,n
2012,8,Sunday,12:00:00 PM,Tennessee,Indianapolis,13,19,OT,0,y
2012,9,Sunday,12:00:00 PM,Tennessee,Chicago,20,51,,0,n
2012,13,Sunday,12:00:00 PM,Tennessee,Houston,10,24,,0,y
2012,15,Monday,7:30:00 PM,Tennessee,New York Jets,14,10,,4,n
2012,17,Sunday,12:00:00 PM,Tennessee,Jacksonville,38,20,,0,y
2013,3,Sunday,12:00:00 PM,Tennessee,San Diego,20,17,,1,n
2013,4,Sunday,3:05:00 PM,Tennessee,New York Jets,38,13,,0,n
2013,5,Sunday,12:00:00 PM,Tennessee,Kansas City,17,26,,0,n
2013,7,Sunday,3:05:00 PM,Tennessee,San Francisco,17,31,,3,n
2013,10,Sunday,12:00:00 PM,Tennessee,Jacksonville,27,29,,0,y
2013,11,Thursday,7:25:00 PM,Tennessee,Indianapolis,27,30,,3,y
2013,15,Sunday,3:25:00 PM,Tennessee,Arizona,37,37,OT,7,n
2013,17,Sunday,12:00:00 PM,Tennessee,Houston,16,10,,0,y
2014,2,Sunday,12:00:00 PM,Tennessee,Dallas,10,26,,0,n
2014,5,Sunday,12:00:00 PM,Tennessee,Cleveland,28,29,,6,n
2014,6,Sunday,12:00:00 PM,Tennessee,Jacksonville,16,14,,8,y
2014,8,Sunday,12:00:00 PM,Tennessee,Houston,16,30,,0,y
2014,11,Monday,7:30:00 PM,Tennessee,Pittsburgh,24,27,,1,n
2014,14,Sunday,12:00:00 PM,Tennessee,New York Giants,7,36,,0,n
2014,15,Sunday,3:05:00 PM,Tennessee,New York Jets,11,16,,2,n
2014,17,Sunday,12:00:00 PM,Tennessee,Indianapolis,10,27,,3,y
2015,3,Sunday,12:00:00 PM,Tennessee,Indianapolis,33,35,,8,y
2015,5,Sunday,12:00:00 PM,Tennessee,Buffalo,13,14,,3,n
2015,6,Sunday,12:00:00 PM,Tennessee,Miami,10,38,,3,n
2015,7,Sunday,12:00:00 PM,Tennessee,Atlanta,7,10,,4,n
2015,10,Sunday,12:00:00 PM,Tennessee,Carolina,10,27,,7,n
2015,12,Sunday,12:00:00 PM,Tennessee,Oakland,21,24,,0,n
2015,13,Sunday,12:00:00 PM,Tennessee,Jacksonville,42,39,,0,y
2015,16,Sunday,12:00:00 PM,Tennessee,Houston,6,34,,12,y
2011,1,Sunday,4:15:00 PM,Washington,New York Giants,28,14,,1,y
2011,2,Sunday,1:00:00 PM,Washington,Arizona,22,21,,2,n
2011,6,Sunday,1:00:00 PM,Washington,Philadelphia,13,20,,1,y
2011,9,Sunday,1:00:00 PM,Washington,San Francisco,11,19,,2,n
2011,11,Sunday,1:00:00 PM,Washington,Dallas,24,27,OT,7,y
2011,13,Sunday,1:00:00 PM,Washington,New York Jets,19,34,,0,n
2011,14,Sunday,1:00:00 PM,Washington,New England,27,34,,2,n
2011,16,Saturday,1:00:00 PM,Washington,Minnesota,26,33,,2,n
2012,3,Sunday,1:00:00 PM,Washington,Cincinnati,31,38,,5,n
2012,5,Sunday,1:00:00 PM,Washington,Atlanta,17,24,,3,n
2012,6,Sunday,4:25:00 PM,Washington,Minnesota,38,26,,3,n
2012,9,Sunday,1:00:00 PM,Washington,Carolina,13,21,,2,n
2012,11,Sunday,1:00:00 PM,Washington,Philadelphia,31,6,,5,y
2012,13,Monday,8:30:00 PM,Washington,New York Giants,17,16,,5,y
2012,14,Sunday,1:00:00 PM,Washington,Baltimore,31,28,OT,4,n
2012,17,Sunday,8:20:00 PM,Washington,Dallas,28,18,,7,y
2013,1,Monday,7:10:00 PM,Washington,Philadelphia,27,33,,7,y
2013,3,Sunday,1:00:00 PM,Washington,Detroit,20,27,,2,n
2013,7,Sunday,1:00:00 PM,Washington,Chicago,45,41,,1,n
2013,9,Sunday,1:00:00 PM,Washington,San Diego,30,24,OT,3,n
2013,12,Monday,8:40:00 PM,Washington,San Francisco,6,27,,4,n
2013,13,Sunday,8:30:00 PM,Washington,New York Giants,17,24,,2,y
2013,14,Sunday,1:00:00 PM,Washington,Kansas City,10,45,,0,n
2013,16,Sunday,1:00:00 PM,Washington,Dallas,23,24,,7,y
2014,2,Sunday,1:00:00 PM,Washington,Jacksonville,41,10,,2,n
2014,4,Thursday,8:25:00 PM,Washington,New York Giants,14,45,,3,y
2014,5,Monday,8:30:00 PM,Washington,Seattle,17,27,,0,n
2014,7,Sunday,1:00:00 PM,Washington,Tennessee,19,17,,4,n
2014,11,Sunday,1:00:00 PM,Washington,Tampa Bay,7,27,,0,n
2014,14,Sunday,1:00:00 PM,Washington,St. Louis,0,24,,3,n
2014,16,Saturday,4:30:00 PM,Washington,Philadelphia,27,24,,5,y
2014,17,Sunday,1:00:00 PM,Washington,Dallas,17,44,,1,y
2015,1,Sunday,1:00:00 PM,Washington,Miami,10,17,,0,n
2015,2,Sunday,1:00:00 PM,Washington,St. Louis,24,10,,0,n
2015,4,Sunday,1:00:00 PM,Washington,Philadelphia,23,20,,1,y
2015,7,Sunday,1:00:00 PM,Washington,Tampa Bay,31,30,,2,n
2015,10,Sunday,1:00:00 PM,Washington,New Orleans,47,14,,2,n
2015,12,Sunday,1:00:00 PM,Washington,New York Giants,20,14,,2,y
2015,13,Monday,8:30:00 PM,Washington,Dallas,16,19,,4,y
2015,15,Sunday,1:00:00 PM,Washington,Buffalo,35,25,,1,n
