year,region,christianity_protestant,christianity_romancatholic,christianity_easternorthodox,christianity_anglican,christianity_other,christianity_all,judaism_orthodox,judaism_conservative,judaism_reform,judaism_other,judaism_all,islam_sunni,islam_shi’a,islam_ibadhi,islam_nationofislam,islam_alawite,islam_ahmadiyya,islam_other,islam_all,buddhism_mahayana,buddhism_theravada,buddhism_other,buddhism_all,zoroastrianism_all,hinduism_all,sikhism_all,shinto_all,baha’i_all,taoism_all,jainism_all,confucianism_all,syncretism_all,animism_all,noreligion_all,otherreligion_all,religion_all,population,world_population,protestant_percent,romancatholic_percent,easternorthodox_percent,anglican_percent,otherchristianity_percent,christianity_percent,orthodox_percent,conservative_percent,reform_percent,otherjudaism_percent,judaism_percent,sunni_percent,shi’a_percent,ibadhi_percent,nationofislam_percent,alawite_percent,ahmadiyya_percent,otherislam_percent,islam_percent,mahayana_percent,theravada_percent,otherbuddhism_percent,buddhism_percent,zoroastrianism_percent,hinduism_percent,sikhism_percent,shinto_percent,baha’i_percent,taoism_percent,jainism_percent,confucianism_percent,syncretism_percent,animism_percent,noreligion_percent,otherreligion_percent,religion_sumpercent,total_percent,worldpopulation_percent
1945,Africa,2074180,672337,7251492,419457,4170594,14588060,0,0,0,80487,80487,0,0,0,0,0,0,5051475,5051475,0,0,53,53,0,137290,1536,0,2021,0,0,0,831,9162018,7396,41833,29065604,29073000,1617000000,0.0713,0.0231,0.2494,0.0144,0.1435,0.5018,0,0,0,0.0028,0.0028,0,0,0,0,0,0,0.1738,0.1738,0,0,0,0,0,0.0047,0.0001,0,0.0001,0,0,0,0,0.3151,0.0003,0.0014,0.9997,1,0.018
1945,Asia,2407144,2222908,181928,3142204,1964907,9919091,0,0,0,30369,30369,7451998,940000,0,0,0,0,27868347,36260345,0,0,113681431,113681431,2710,5230216,12525,55228775,7243,120950,0,0,423153390,22525760,30637661,152491,666325296,663450000,1617000000,0.0036,0.0034,0.0003,0.0047,0.003,0.015,0,0,0,0,0,0.0112,0.0014,0,0,0,0,0.042,0.0547,0,0,0.1713,0.1713,0,0.0079,0,0.0832,0,0.0002,0,0,0.6378,0.034,0.0462,0.0002,1.0043,1.0505,0.4103
1945,Europe,83145512,216041422,86503645,29855595,5361826,420908000,0,0,0,6068020,6068020,0,0,0,0,0,0,29353397,29353397,0,0,725632,725632,0,21691,1748,0,6231,0,181,0,5896,1294177,99829250,2535777,460920750,560750000,1617000000,0.1483,0.3853,0.1543,0.0532,0.0096,0.7506,0,0,0,0.0108,0.0108,0,0,0,0,0,0,0.0523,0.0523,0,0,0.0013,0.0013,0,0,0,0,0,0,0,0,0,0.0023,0.178,0.0045,0.822,1,0.3468
1945,Mideast,87174,635929,3180260,0,108332,4011695,0,0,0,623240,623240,41598322,18496742,0,0,0,0,0,60095064,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,561,478440,65218439,65219000,1617000000,0.0013,0.0098,0.0488,0,0.0017,0.0615,0,0,0,0.0096,0.0096,0.6378,0.2836,0,0,0,0,0,0.9214,0,0,0,0,0.0002,0,0,0,0,0,0,0,0,0,0,0.0073,1,1,0.0403
1945,West. Hem,73173575,171759439,1383846,3537777,2068807,251923444,856827,1426350,1929388,994719,5207284,0,0,0,0,0,0,0,0,0,0,1830820,1830820,0,0,5000,0,0,0,0,0,5500000,228125,23011662,6648385,271343058,289375655,1617000000,0.2529,0.5936,0.0048,0.0122,0.0071,0.8706,0.003,0.0049,0.0067,0.0034,0.018,0,0,0,0,0,0,0,0,0,0,0.0063,0.0063,0,0,0,0,0,0,0,0,0.019,0.0008,0.0795,0.023,0.9377,1.0172,0.179
1950,Africa,3302860,736193,7260770,609769,4884121,16793713,0,0,0,97006,97006,0,0,0,0,0,0,5508523,5508523,0,0,194,194,0,195524,1943,0,3004,0,0,0,973,11084152,19918,2050,33687082,33707000,2231000000,0.098,0.0218,0.2154,0.0181,0.1449,0.4982,0,0,0,0.0029,0.0029,0,0,0,0,0,0,0.1634,0.1634,0,0,0,0,0,0.0058,0.0001,0,0.0001,0,0,0,0,0.3288,0.0006,0.0001,0.9994,1,0.0151
1950,Asia,9360004,25948053,1051829,3612715,5190796,45163397,0,0,0,54754,54754,7987175,923000,0,0,0,0,180211586,189121761,0,14031137,144032385,158063522,114462,301106975,5910591,65452839,453734,921828,1816754,2646410,425681485,76081638,69193934,499371,1273089521,1300208016,2231000000,0.0072,0.02,0.0008,0.0028,0.004,0.0347,0,0,0,0,0,0.0061,0.0007,0,0,0,0,0.1386,0.1455,0,0.0108,0.1108,0.1216,0.0001,0.2316,0.0045,0.0503,0.0003,0.0007,0.0014,0.002,0.3274,0.0585,0.0532,0.0004,0.9791,1.0324,0.5828
1950,Europe,40293475,182146023,91004796,29739026,4534844,347718164,0,0,0,5336066,5336066,0,0,0,0,0,0,30109208,30109208,0,0,759624,759624,0,44995,10022,0,8041,0,500,0,9763,1238087,100773236,512294,385746764,486520000,2231000000,0.0828,0.3744,0.1871,0.0611,0.0093,0.7147,0,0,0,0.011,0.011,0,0,0,0,0,0,0.0619,0.0619,0,0,0.0016,0.0016,0,0.0001,0,0,0,0,0,0,0,0.0025,0.2071,0.0011,0.7929,1,0.2181
1950,Mideast,27091,946089,4047536,0,93138,5113854,1090162,6607,4404,529038,1630211,48934129,20021082,0,0,387994,0,17600,69360805,0,0,0,0,5000,0,0,0,172960,0,0,0,0,0,0,1400170,77683000,77683000,2231000000,0.0003,0.0122,0.0521,0,0.0012,0.0658,0.014,0.0001,0.0001,0.0068,0.021,0.6299,0.2577,0,0,0.005,0,0.0002,0.8929,0,0,0,0,0.0001,0,0,0,0.0022,0,0,0,0,0,0,0.018,1,1,0.0348
1950,West. Hem,80317613,192159498,3245980,4346034,1621869,281690994,1114069,1853690,2524237,1088261,6580257,0,0,0,0,0,0,20770,20770,0,0,188562,188562,0,2006,10001,0,1000,0,0,0,6249873,450003,22938228,9732066,304925532,322455008,2231000000,0.2491,0.5959,0.0101,0.0135,0.005,0.8736,0.0035,0.0057,0.0078,0.0034,0.0204,0,0,0,0,0,0,0.0001,0.0001,0,0,0.0006,0.0006,0,0,0,0,0,0,0,0,0.0194,0.0014,0.0711,0.0302,0.9456,1.0168,0.1445
1955,Africa,4014921,802667,7272036,753661,6094033,18937318,0,0,0,117741,117741,0,0,0,0,0,0,6002686,6002686,0,0,707,707,0,278538,2457,0,7593,0,0,0,1139,9419390,53634,103797,34871366,34925000,2536000000,0.115,0.023,0.2082,0.0216,0.1745,0.5422,0,0,0,0.0034,0.0034,0,0,0,0,0,0,0.1719,0.1719,0,0,0,0,0,0.008,0.0001,0,0.0002,0,0,0,0,0.2697,0.0015,0.003,0.9985,1,0.0138
1955,Asia,12638476,34806115,1254956,3824355,6443511,58967413,0,0,0,81070,81070,8658503,1000000,0,0,0,0,201064244,210722747,0,33522360,144441261,177963621,126582,328331380,6342714,68145114,738141,1182738,1619287,2785120,378770746,82851650,161895190,1402045,1320030368,1436233000,2536000000,0.0088,0.0242,0.0009,0.0027,0.0045,0.0411,0,0,0,0.0001,0.0001,0.006,0.0007,0,0,0,0,0.14,0.1467,0,0.0233,0.1006,0.1239,0.0001,0.2286,0.0044,0.0474,0.0005,0.0008,0.0011,0.0019,0.2637,0.0577,0.1127,0.001,0.9191,1.0318,0.5663
1955,Europe,85570895,223576835,96120344,29306649,6597713,441172436,0,0,0,5178671,5178671,0,0,0,0,0,0,33390170,33390170,0,0,806776,806776,0,93684,57446,0,15068,0,1375,0,26391,1189903,118537427,3246653,485178573,603716000,2536000000,0.1417,0.3703,0.1592,0.0485,0.0109,0.7308,0,0,0,0.0086,0.0086,0,0,0,0,0,0,0.0553,0.0553,0,0,0.0013,0.0013,0,0.0002,0.0001,0,0,0,0,0,0,0.002,0.1963,0.0054,0.8037,1,0.2381
1955,Mideast,32782,1740329,3202941,0,678049,5654101,1509000,9001,6001,442397,1966399,70224037,23256503,0,0,445582,0,27552,93953674,0,0,0,0,14180,0,0,0,0,0,0,0,5588,0,270,1135788,102729730,102730000,2536000000,0.0003,0.0169,0.0312,0,0.0066,0.055,0.0147,0.0001,0.0001,0.0043,0.0191,0.6836,0.2264,0,0,0.0043,0,0.0003,0.9146,0,0,0,0,0.0001,0,0,0,0,0,0,0,0.0001,0,0,0.0111,1,1,0.0405
1955,West. Hem,87090264,213452184,3811061,4292907,2624418,311270834,987432,1644006,2219240,791645,5642323,0,0,0,0,0,0,2730,2730,0,0,613095,613095,0,1003,5000,0,500,0,0,171199,6898286,250001,23641928,15490767,340345738,358220000,2536000000,0.2431,0.5959,0.0106,0.012,0.0073,0.8689,0.0028,0.0046,0.0062,0.0022,0.0158,0,0,0,0,0,0,0,0,0,0,0.0017,0.0017,0,0,0,0,0,0,0,0.0005,0.0193,0.0007,0.066,0.0432,0.9501,1.0161,0.1413
1960,Africa,13038381,14074508,8239314,3033366,23172234,61557803,0,0,0,138994,138994,4990792,0,0,0,0,0,37917444,42908236,0,0,3416,3416,0,363925,2971,0,157462,0,0,0,4646,42355767,265053,1047727,148540947,148806000,2921000000,0.0876,0.0946,0.0554,0.0204,0.1557,0.4137,0,0,0,0.0009,0.0009,0.0335,0,0,0,0,0,0.2548,0.2884,0,0,0,0,0,0.0024,0,0,0.0011,0,0,0,0,0.2846,0.0018,0.007,0.9982,1,0.0509
1960,Asia,17884779,41601765,1518027,4071747,9108298,74184616,0,0,0,80005,80005,9537389,1000000,0,0,0,0,229633620,240171009,0,16766250,179897730,196663980,170443,360471285,7980296,71357167,899468,1357348,2029510,3251560,317448262,89171314,278617080,2879327,1368115590,1594029976,2921000000,0.0112,0.0261,0.001,0.0026,0.0057,0.0465,0,0,0,0.0001,0.0001,0.006,0.0006,0,0,0,0,0.1441,0.1507,0,0.0105,0.1129,0.1234,0.0001,0.2261,0.005,0.0448,0.0006,0.0009,0.0013,0.002,0.1991,0.0559,0.1748,0.0018,0.8583,1.0331,0.5457
1960,Europe,86615387,232373678,102354051,29372814,7610228,458326158,0,0,0,5068023,5068023,0,0,0,0,0,0,35477503,35477503,0,0,853421,853421,0,142373,104871,0,21419,0,2250,0,37975,1141720,133709658,4580629,505756342,639466000,2921000000,0.1354,0.3634,0.1601,0.0459,0.0119,0.7167,0,0,0,0.0079,0.0079,0,0,0,0,0,0,0.0555,0.0555,0,0,0.0013,0.0013,0,0.0002,0.0002,0,0,0,0,0,0.0001,0.0018,0.2091,0.0072,0.7909,1,0.2189
1960,Mideast,23416,1627382,2292182,0,1530960,5473940,1794474,10875,7250,322686,2135285,89797203,26174803,0,0,521848,0,20950,116514804,0,0,0,0,0,0,0,0,200000,0,0,0,0,2800000,277,1762694,128886723,128887000,2921000000,0.0002,0.0126,0.0178,0,0.0119,0.0425,0.0139,0.0001,0.0001,0.0025,0.0166,0.6967,0.2031,0,0,0.004,0,0.0002,0.904,0,0,0,0,0,0,0,0,0.0016,0,0,0,0,0.0217,0,0.0137,1,1,0.0441
1960,West. Hem,102731807,252280539,3864535,5368773,3179424,367425078,1024373,1706028,2293155,1282993,6306549,0,0,0,0,0,0,51536,51536,0,0,2918342,2918342,0,191584,0,0,0,0,0,342398,7525200,300000,22037603,8634058,393694745,409598148,2921000000,0.2508,0.6159,0.0094,0.0131,0.0078,0.897,0.0025,0.0042,0.0056,0.0031,0.0154,0,0,0,0,0,0,0.0001,0.0001,0,0,0.0071,0.0071,0,0.0005,0,0,0,0,0,0.0008,0.0184,0.0007,0.0538,0.0211,0.9612,1.015,0.1402
1965,Africa,20608952,28626956,9117352,5727195,34020771,98101226,0,0,0,147929,147929,6027156,0,0,0,0,0,50640232,56667388,0,0,4572,4572,324,548874,25853,0,557883,0,28913,0,14203,61942649,354423,1570763,219610577,219965000,3280000000,0.0937,0.1301,0.0414,0.026,0.1547,0.446,0,0,0,0.0007,0.0007,0.0274,0,0,0,0,0,0.2302,0.2576,0,0,0,0,0,0.0025,0.0001,0,0.0025,0,0.0001,0,0.0001,0.2816,0.0016,0.0071,0.9984,1,0.0671
1965,Asia,21008991,48324442,1857898,4513000,9780318,85484649,0,0,0,79304,79304,10805320,1020000,0,0,0,0,263388381,275213701,0,18305680,191365422,209671102,138682,396909711,8717537,74982591,1046723,1702647,2309710,4065157,350788060,94583167,305127190,18999278,1524692019,1772609960,3280000000,0.0119,0.0273,0.001,0.0025,0.0055,0.0482,0,0,0,0,0,0.0061,0.0006,0,0,0,0,0.1486,0.1553,0,0.0103,0.108,0.1183,0.0001,0.2239,0.0049,0.0423,0.0006,0.001,0.0013,0.0023,0.1979,0.0534,0.1721,0.0107,0.8601,1.0323,0.5404
1965,Europe,87270229,243240445,107031360,29346138,9288584,476176756,0,0,0,4983768,4983768,0,0,0,0,0,0,36814738,36814738,0,0,900068,900068,0,191110,152295,0,28308,0,3125,0,49559,1093535,147965351,7956387,528349649,676315000,3280000000,0.129,0.3597,0.1583,0.0434,0.0137,0.7041,0,0,0,0.0074,0.0074,0,0,0,0,0,0,0.0544,0.0544,0,0,0.0013,0.0013,0,0.0003,0.0002,0,0,0,0,0,0.0001,0.0016,0.2188,0.0118,0.7812,1,0.2062
1965,Mideast,31888,2864431,2592130,38500,527560,6054509,2247102,13618,9079,355314,2625113,112360336,16077714,40000,0,598115,0,16772097,145848262,0,0,0,0,9938,0,0,0,17627,0,0,0,0,2995006,47680,2156865,159707320,159755000,3280000000,0.0002,0.0179,0.0162,0.0002,0.0033,0.0379,0.0141,0.0001,0.0001,0.0022,0.0164,0.7033,0.1006,0.0003,0,0.0037,0,0.105,0.9129,0,0,0,0,0.0001,0,0,0,0.0001,0,0,0,0,0.0187,0.0003,0.0135,0.9997,1,0.0487
1965,West. Hem,105517643,291058747,5355754,5461806,1502696,408896646,1048530,1746727,2338997,1283311,6417565,0,0,0,0,0,0,89968,89968,0,0,2017642,2017642,0,213487,0,0,8350,2000,0,376219,7993000,279349,20603206,10476376,436770602,450956507,3280000000,0.234,0.6454,0.0119,0.0121,0.0033,0.9067,0.0023,0.0039,0.0052,0.0028,0.0142,0,0,0,0,0,0,0.0002,0.0002,0,0,0.0045,0.0045,0,0.0005,0,0,0,0,0,0.0008,0.0177,0.0006,0.0457,0.0232,0.9685,1.0142,0.1375
1970,Africa,25615793,38089508,9726348,7268620,41386699,122086968,0,0,0,151537,151537,7474780,0,0,0,0,0,59343505,66818285,0,0,11299,11299,472,991566,26094,0,701507,0,32861,0,17679,63335604,446303,916825,255090697,255537000,3655000000,0.1002,0.1491,0.0381,0.0284,0.162,0.4778,0,0,0,0.0006,0.0006,0.0293,0,0,0,0,0,0.2322,0.2615,0,0,0,0,0,0.0039,0.0001,0,0.0027,0,0.0001,0,0.0001,0.2479,0.0017,0.0036,0.9983,1,0.0699
1970,Asia,23692514,54128278,2196653,4894990,17824360,102736795,0,0,0,78269,78269,11703860,1268900,0,0,0,0,305478789,318451549,0,20862636,205627244,226489880,106789,448086953,10441204,79155350,1177687,1965466,2590921,4878755,370782297,98686228,398889032,11119903,1676748046,2013375984,3655000000,0.0118,0.0269,0.0011,0.0024,0.0089,0.051,0,0,0,0,0,0.0058,0.0006,0,0,0,0,0.1517,0.1582,0,0.0104,0.1021,0.1125,0.0001,0.2226,0.0052,0.0393,0.0006,0.001,0.0013,0.0024,0.1842,0.049,0.1981,0.0055,0.8328,1.0309,0.5509
1970,Europe,87380610,248209651,112215607,29225607,11248267,488279742,0,0,0,4883835,4883835,0,0,0,0,0,0,38264883,38264883,0,0,955963,955963,410,242896,199719,0,49039,0,4000,1004,62146,1047415,162011668,7126528,541117580,703129248,3655000000,0.1243,0.353,0.1596,0.0416,0.016,0.6944,0,0,0,0.0069,0.0069,0,0,0,0,0,0,0.0544,0.0544,0,0,0.0014,0.0014,0,0.0003,0.0003,0,0.0001,0,0,0,0.0001,0.0015,0.2304,0.0101,0.7696,1,0.1924
1970,Mideast,36181,2696173,4103446,87580,1340824,8264204,2517669,15258,10172,41135,2584234,132085364,35303241,374000,0,700450,0,27000,168490055,0,0,0,0,0,7470,0,0,96033,0,0,0,0,3326100,153410,1554494,184322590,184476000,3655000000,0.0002,0.0146,0.0222,0.0005,0.0073,0.0448,0.0136,0.0001,0.0001,0.0002,0.014,0.716,0.1914,0.002,0,0.0038,0,0.0001,0.9133,0,0,0,0,0,0,0,0,0.0005,0,0,0,0,0.018,0.0008,0.0084,0.9992,1,0.0505
1970,West. Hem,111207132,327882930,6353581,4603045,5191279,455237967,1146052,1908728,2564626,1516128,7135534,0,0,0,0,0,0,317516,317516,0,0,1345492,1345492,0,495604,19615,1000,270712,15800,980,407172,8294607,613877,27337768,5541211,479697087,498934000,3655000000,0.2229,0.6572,0.0127,0.0092,0.0104,0.9124,0.0023,0.0038,0.0051,0.003,0.0143,0,0,0,0,0,0,0.0006,0.0006,0,0,0.0027,0.0027,0,0.001,0,0,0.0005,0,0,0.0008,0.0166,0.0012,0.0548,0.0111,0.9614,1.0162,0.1365
1975,Africa,31997004,52803680,12815275,8543658,49058004,155217621,0,0,0,178015,178015,8749390,0,0,0,0,0,71486936,80236326,0,0,19123,19123,419,1112884,28132,0,854583,0,37726,3230,22758,64493395,930997,1808791,304013003,304944000,4023000000,0.1049,0.1732,0.042,0.028,0.1609,0.509,0,0,0,0.0006,0.0006,0.0287,0,0,0,0,0,0.2344,0.2631,0,0,0.0001,0.0001,0,0.0036,0.0001,0,0.0028,0,0.0001,0,0.0001,0.2115,0.0031,0.0059,0.9969,1,0.0758
1975,Asia,33137903,62221703,2181466,5038932,33485408,136065411,0,0,0,158067,158067,79435094,1557800,0,0,0,0,267723211,348716105,0,22929200,235072380,258001580,163963,486416662,12236052,85416048,1410128,2845907,2898371,5167140,363792820,99482806,476180772,6244193,1809015253,2217498000,4023000000,0.0149,0.0281,0.001,0.0023,0.0151,0.0614,0,0,0,0.0001,0.0001,0.0358,0.0007,0,0,0,0,0.1207,0.1573,0,0.0103,0.106,0.1163,0.0001,0.2194,0.0055,0.0385,0.0006,0.0013,0.0013,0.0023,0.1641,0.0449,0.2147,0.0028,0.8158,1.0305,0.5512
1975,Europe,86306803,254101668,111135093,28854249,12430347,492828160,0,0,0,4711084,4711084,0,0,0,0,0,0,39403622,39403622,0,0,1008216,1008216,448,347975,204859,0,53174,0,5883,2753,62559,759215,177802241,11223811,550611759,728414000,4023000000,0.1185,0.3488,0.1526,0.0396,0.0171,0.6766,0,0,0,0.0065,0.0065,0,0,0,0,0,0,0.0541,0.0541,0,0,0.0014,0.0014,0,0.0005,0.0003,0,0.0001,0,0,0,0.0001,0.001,0.2441,0.0154,0.7559,1,0.1811
1975,Mideast,79351,2331935,3940450,144271,1208607,7704614,2663460,177564,118376,151850,3111250,150768820,42815413,420500,0,924465,700,40000,194969898,0,0,2083,2083,14254,0,0,0,3227,0,0,0,0,3348710,71656,1661308,210815344,210887000,4023000000,0.0004,0.0111,0.0187,0.0007,0.0057,0.0365,0.0126,0.0008,0.0006,0.0007,0.0148,0.7149,0.203,0.002,0,0.0044,0,0.0002,0.9245,0,0,0,0,0.0001,0,0,0,0,0,0,0,0,0.0159,0.0003,0.0079,0.9997,1,0.0524
1975,West. Hem,113336668,376866912,7120000,5572228,5404995,508300803,1246639,2076093,2792554,1640846,7756132,0,0,0,0,0,2000,346397,348397,0,0,1293282,1293282,0,744286,8827,500,285941,49389,400,1800,8466016,531153,35446166,5862582,533649508,560925800,4023000000,0.2021,0.6719,0.0127,0.0099,0.0096,0.9062,0.0022,0.0037,0.005,0.0029,0.0138,0,0,0,0,0,0,0.0006,0.0006,0,0,0.0023,0.0023,0,0.0013,0,0,0.0005,0.0001,0,0,0.0151,0.0009,0.0632,0.0105,0.9514,1.0146,0.1394
